,Boat Type,Length,Width,Views,Price_USD,Country,City,t3,Age
0,Motor Yacht,4.0,1.9,226,3667.363,Switzerland , Lake Geneva ,new,7
1,Center console boat,4.0,1.5,75,3751.75,Germany , Bnningstedt,new,4
3,Sport Boat,3.0,1.0,64,3703.7,Denmark , Svendborg,new,4
4,Fishing Boat,3.55,1.46,58,3653.9249999999997,Germany , Bayern ,new,5
8,Fishing Boat,3.64,1.37,45,3582.975,Germany , Bayern ,new,5
9,Pontoon Boat,4.35,1.73,180,3547.5,Italy , Dormelletto ,new,6
13,Runabout,4.4,1.65,113,5055.4,Switzerland , Zugersee ,new,4
20,Fishing Boat,3.55,1.46,69,4298.925,Germany , Bayern ,new,5
22,Sport Boat,4.31,1.64,90,4224.75,Germany , Nordrhein-Westfalen ,new,4
27,Fishing Boat,3.55,1.46,130,4428.97,Switzerland , Vierwaldst¤ttersee ,new,6
29,Fishing Boat,4.01,1.5,512,4368.525,Switzerland , Horgen,new,4
41,Working Boat,3.88,1.49,54,6462.5,United Kingdom ," Burton Waters, Burton Waters",new,5
43,Sport Boat,5.2,2.2,186,5912.5,Germany , Berlin ,new,6
47,Sport Boat,4.3,1.75,57,5858.75,Italy , Lake Garda ,new,6
49,Fishing Boat,4.01,1.64,67,5803.925,Germany , Bayern ,new,6
53,Fishing Boat,4.2,1.85,141,5590.0,Germany , Erftstadt,new,4
55,Runabout,4.0,1.65,99,6044.5,Switzerland , Zugersee ,new,4
61,Deck Boat,5.7,2.2,122,6987.5,Germany , Berlin ,new,6
70,Sport Boat,5.2,2.06,119,8385.0,Italy , Lake Garda ,new,5
75,Bowrider,4.45,1.85,462,8962.345,Switzerland , Horgen,new,4
85,Sport Boat,4.4,1.65,96,9449.25,Germany , Bayern ,new,5
88,Sport Boat,5.3,2.2,166,9245.0,Italy , Lake Garda ,new,6
89,Sport Boat,4.8,1.9,873,10182.235,Switzerland , Lake of Zurich ,new,4
91,Deck Boat,5.53,2.18,221,9137.5,Italy , Lago,new,6
108,Sport Boat,4.88,2.03,64,10293.125,Germany , Grevenbroich,new,8
110,Motor Yacht,4.8,2.0,91,10269.475,Netherlands , Lemmer,new,5
112,Sport Boat,5.7,2.1,184,10212.5,Italy , Lombardia - Trentino Alto Adige ,new,5
120,Sport Boat,4.99,2.1,115,10873.625,Germany , Wesel,new,4
121,Runabout,4.5,1.65,159,11979.1,Switzerland , Zugersee ,new,4
125,Sport Boat,5.9,2.38,155,10750.0,Italy , Lake Garda ,new,6
143,Deck Boat,5.07,2.12,150,11823.925,Germany , Kieler Bucht mit Fehmarn ,new,4
144,Sport Boat,5.1,2.1,255,11823.925,Germany , Nordrhein-Westfalen ,new,4
145,Sport Boat,5.2,2.22,179,11823.925,Germany , Nordrhein-Westfalen ,new,4
155,Sport Boat,4.6,1.8,133,12889.25,Germany , Erftstadt,new,5
157,Sport Boat,5.3,2.39,284,14232.05,Switzerland , Kesswil ,new,5
158,Sport Boat,4.0,1.0,166,12726.999999999998,Denmark , Svendborg,new,5
159,Launch,4.0,2.0,134,12726.999999999998,Denmark , Svendborg,new,4
160,Runabout,5.0,1.9,273,14177.1,Switzerland , Zugersee ,new,4
165,Bowrider,4.9,1.9,180,13727.75,Germany , Lake Constance ,new,4
166,Launch,4.0,1.0,67,13583.57,Denmark , Svendborg,new,4
167,Deck Boat,5.7,2.25,97,13706.25,Germany , DE,new,4
170,Deck Boat,5.0,2.0,147,13437.5,Italy , Friuli Venezia Giulia ,new,5
179,Deck Boat,5.0,2.0,35,14716.75,Slovak Republic ," Bratislava, Slovaquie",new,10
180,Bowrider,4.57,1.93,212,16155.3,Switzerland , Vierwaldst¤ttersee ,new,6
181,Sport Boat,5.7,2.1,214,14583.449999999999,Germany , DE,new,5
195,Fishing Boat,5.76,2.25,292,17144.4,Switzerland , Lake Geneva ,new,4
197,Runabout,4.9,2.08,119,15443.449999999999,Germany , Lake Constance ,new,6
199,Motor Yacht,4.52,1.9,220,16924.6,Switzerland , Lake Geneva ,new,5
201,Sport Boat,5.68,1.99,285,15265.0,Switzerland , Diessenhoen,new,5
205,Sport Boat,5.6,2.35,70,15050.0,Italy , Lake Garda ,new,6
