,Length,Width,Views,Price_USD,Age
0,4.0,1.9,226,3667.363,7
1,4.0,1.5,75,3751.75,4
2,3.0,1.0,64,3703.7,4
3,3.55,1.46,58,3653.925,5
4,3.64,1.37,45,3582.975,5
5,4.35,1.73,180,3547.5,6
6,4.4,1.65,113,5055.4,4
7,3.55,1.46,69,4298.925,5
8,4.31,1.64,90,4224.75,4
9,3.55,1.46,130,4428.97,6
10,4.01,1.5,512,4368.525,4
11,3.88,1.49,54,6462.5,5
12,5.2,2.2,186,5912.5,6
13,4.3,1.75,57,5858.75,6
14,4.01,1.64,67,5803.925,6
15,4.2,1.85,141,5590.0,4
16,4.0,1.65,99,6044.5,4
17,5.7,2.2,122,6987.5,6
18,5.2,2.06,119,8385.0,5
19,4.45,1.85,462,8962.345,4
20,4.4,1.65,96,9449.25,5
21,5.3,2.2,166,9245.0,6
22,4.8,1.9,873,10182.235,4
23,5.53,2.18,221,9137.5,6
24,4.88,2.03,64,10293.125,8
25,4.8,2.0,91,10269.475,5
26,5.7,2.1,184,10212.5,5
27,4.99,2.1,115,10873.625,4
28,4.5,1.65,159,11979.1,4
29,5.9,2.38,155,10750.0,6
30,5.07,2.12,150,11823.925,4
31,5.1,2.1,255,11823.925,4
32,5.2,2.22,179,11823.925,4
33,4.6,1.8,133,12889.25,5
34,5.3,2.39,284,14232.05,5
35,4.0,1.0,166,12726.999999999998,5
36,4.0,2.0,134,12726.999999999998,4
37,5.0,1.9,273,14177.1,4
38,4.9,1.9,180,13727.75,4
39,4.0,1.0,67,13583.57,4
40,5.7,2.25,97,13706.25,4
41,5.0,2.0,147,13437.5,5
42,5.0,2.0,35,14716.75,10
43,4.57,1.93,212,16155.3,6
44,5.7,2.1,214,14583.45,5
45,5.76,2.25,292,17144.4,4
46,4.9,2.08,119,15443.45,6
47,4.52,1.9,220,16924.6,5
48,5.68,1.99,285,15265.0,5
49,5.6,2.35,70,15050.0,6
50,4.7,1.85,156,16017.5,10
51,5.55,2.18,87,16017.5,4
52,4.7,1.95,70,16017.5,5
53,5.55,2.18,80,16017.5,4
54,5.53,2.18,50,16662.5,4
55,5.5,2.29,219,16661.425,4
56,5.0,2.0,71,16651.75,7
57,5.48,2.36,56,16604.45,4
58,6.0,2.25,116,16555.0,5
59,4.57,1.83,53,18687.5,6
60,4.7,2.02,341,19434.716,4
61,5.48,2.36,99,17436.5,4
62,5.15,2.08,60,17404.25,5
63,6.4,2.25,399,19122.6,4
64,5.0,2.0,149,19122.6,5
65,4.0,1.0,50,17088.5,4
66,5.53,2.24,127,18135.25,4
67,5.83,2.03,247,20012.79,4
68,4.95,2.03,241,20001.8,4
69,5.0,1.94,215,20771.1,5
70,6.15,2.27,149,20156.25,4
71,6.1,2.4,324,20091.75,4
72,5.52,2.43,73,20016.5,4
73,6.4,2.25,185,22089.9,4
74,5.0,1.9,401,21870.1,4
75,4.0,2.0,95,19705.4,4
76,4.86,1.96,145,19903.625,4
77,4.99,1.97,183,23024.05,6
78,5.1,2.1,117,20747.5,4
79,9.0,1.7,235,22859.2,4
80,6.12,2.44,217,21392.5,5
81,4.78,1.95,121,21392.5,6
82,5.75,2.54,153,22036.425,4
83,6.08,2.37,115,22026.75,6
84,5.3,2.15,118,24298.89,4
85,5.64,2.45,73,23000.7,4
86,6.89,2.5,43,22897.5,4
87,6.6,2.47,394,25277.0,5
88,5.67,2.25,135,22671.75,5
89,5.03,2.12,62,22575.0,4
90,5.47,2.29,86,24596.0,4
91,5.65,2.2,140,24563.75,4
92,5.0,2.0,63,24281.4,4
93,5.28,2.09,114,24510.0,4
94,5.18,2.29,87,24479.9,6
95,5.79,2.46,49,24472.375,4
96,5.42,2.32,142,24381.0,4
97,6.25,2.3,107,24209.0,4
98,6.06,2.2,109,25413.0,7
99,4.54,1.85,84,25294.75,4
100,6.6,1.85,888,27475.0,4
101,5.6,2.25,84,25036.75,5
102,5.73,2.2,157,25982.75,4
103,5.25,1.98,125,25597.0,4
104,6.0,2.0,65,25597.0,4
105,5.3,2.0,198,28519.05,4
106,6.5,2.4,110,26767.5,6
107,6.05,2.42,69,26767.5,5
108,6.05,2.42,48,26767.5,4
109,6.5,3.0,72,26875.0,7
110,5.3,2.3,64,27842.5,9
111,6.43,2.5,264,27842.5,5
112,6.0,2.0,80,27842.5,6
113,6.6,2.45,94,28810.0,4
114,5.1,2.13,138,31761.1,7
115,4.98,2.0,173,31761.1,5
116,5.0,2.0,158,31761.1,5
117,6.5,2.4,97,28702.5,4
118,6.48,2.53,104,28702.5,4
119,6.5,2.4,137,28702.5,4
120,6.1,2.33,224,28616.5,4
121,6.77,2.48,55,28527.275,4
122,6.42,2.59,85,29347.5,4
123,4.6,1.85,191,32420.5,4
124,5.07,2.12,56,29154.0,4
125,6.28,2.24,228,32090.8,4
126,7.52,2.43,227,29992.5,4
127,6.08,2.37,111,29992.5,8
128,6.5,2.48,308,29992.5,6
129,6.05,2.4,41,29992.5,5
130,6.25,2.28,83,29992.5,5
131,7.65,2.48,252,30637.5,4
132,6.75,2.54,161,31175.0,6
133,5.89,2.44,66,34062.5,6
134,5.07,2.12,102,31873.75,5
135,6.05,2.25,65,33136.875,5
136,5.07,2.12,62,33131.5,4
137,6.05,2.25,71,33120.75,5
138,5.7,2.26,136,33001.425,4
139,6.03,1.9,164,35970.27,6
140,5.5,2.29,92,32787.5,4
141,5.2,2.1,166,34217.25,5
142,12.5,4.2,290,34185.0,4
143,6.12,2.4,158,37739.66,4
144,6.5,2.4,36,34937.5,5
145,6.99,2.55,81,34937.5,5
146,11.65,3.25,140,34926.75,44
147,6.52,2.44,87,35475.0,4
148,5.72,2.4,75,36550.0,7
149,6.8,2.3,82,36496.25,4
150,7.1,2.5,104,36496.25,4
151,7.45,2.49,130,36442.5,9
